district_name,district_number,Activity,time_window_index,count
Innere Stadt,01,walk,0,500
Leopoldstadt,02,bike,0,500
Leopoldstadt,02,stand,0,500
Leopoldstadt,02,walk,0,1000
Landstraße,03,stand,0,500
Margareten,05,stand,0,500
Mariahilf,06,stand,0,500
Josefstadt,08,walk,0,500
Favoriten,10,stand,0,500
Favoriten,10,walk,0,2000
Simmering,11,bike,0,1000
Simmering,11,stand,0,500
Meidling,12,walk,0,500
Penzing,14,bike,0,500
Penzing,14,stand,0,500
Währing,18,stand,0,500
Döbling,19,stand,0,500
Brigittenau,20,stand,0,500
Floridsdorf,21,bike,0,1000
Donaustadt,22,bike,0,2000
Donaustadt,22,walk,0,500
