infrastructure_type,infrastructure_label,Activity,time_window_index,count
bike_path,Getrennte Führung,bike,0,1499
bike_path,Markierte Anlagen,bike,0,1454
bike_path,Radroute,bike,0,2047
district_centroid,Margareten,stand,0,500
district_centroid,Währing,stand,0,500
district_centroid,Penzing,stand,0,500
district_centroid,Mariahilf,stand,0,500
district_centroid,Brigittenau,stand,0,500
district_centroid,Simmering,stand,0,500
district_centroid,Landstraße,stand,0,500
district_centroid,Favoriten,stand,0,500
district_centroid,Döbling,stand,0,500
district_centroid,Leopoldstadt,stand,0,500
pedestrian_zone,"22., Tokiostraße 7",walk,0,500
pedestrian_zone,unassigned,walk,0,167
pedestrian_zone,"10., Keplergasse14",walk,0,464
pedestrian_zone,"8., Lerchenfelder Gürtel",walk,0,408
pedestrian_zone,"10., Favoritenstraße",walk,0,500
pedestrian_zone,"10., Johannitergasse",walk,0,461
pedestrian_zone,"1., Rabensteig",walk,0,500
pedestrian_zone,"10., Erlachgasse 94",walk,0,500
pedestrian_zone,"2., Schrottgießergasse",walk,0,500
pedestrian_zone,"12., Rosasgasse",walk,0,500
pedestrian_zone,"2., Komödiengasse",walk,0,500
